time_ps,energy_eV,temperature_K,ekin_eV,nose_hoover_eV
8.11399999999938,-261922.434274068,501.628959371028,15.7562736056043,-261936.253075368
8.11599999999938,-261921.210957095,540.268799690997,16.9699593085224,-261936.272673182
8.11799999999938,-261920.916732237,535.240629388063,16.8120233968319,-261936.25484462
8.11999999999938,-261921.475888129,498.039224026037,15.6435192456122,-261936.206333952
8.12199999999938,-261922.087097846,481.24179914871,15.1159085140296,-261936.220437102
8.12399999999938,-261922.334984605,496.855042375517,15.6063238450362,-261936.25942821
8.12599999999938,-261922.506695812,517.24393142544,16.2467432394581,-261936.28031729
8.12799999999938,-261923.079589261,514.229824487476,16.1520694916532,-261936.301082623
8.12999999999938,-261923.90482678,487.301206576583,15.3062358058214,-261936.289393267
8.13199999999939,-261924.36443393,468.469355767344,14.7147233177418,-261936.252441571
8.13399999999939,-261924.157056497,485.590745085971,15.2525098421694,-261936.248628805
8.13599999999939,-261923.657626013,525.267946732679,16.4987792876857,-261936.277549251
8.13799999999939,-261923.761318796,538.223836393455,16.9057265711025,-261936.305301082
8.13999999999939,-261924.713879567,499.532281366906,15.6904164981175,-261936.301843956
8.14199999999939,-261925.490321712,447.425439130958,14.0537293658134,-261936.258333857
8.14399999999939,-261925.082148074,434.156052556083,13.6369350768345,-261936.220975026
8.14599999999939,-261923.233916649,478.010926017221,15.0144260934202,-261936.210183899
8.14799999999939,-261920.622218688,549.028176725464,17.2450932269125,-261936.181914226
8.14999999999939,-261919.062504125,578.289121424996,18.1641857992838,-261936.127958889
8.15199999999939,-261919.638143676,536.699031190398,16.8578321114111,-261936.101488441
8.15399999999939,-261921.148273995,478.490854174298,15.029500740154,-261936.102663119
8.15599999999939,-261922.141174852,457.189453750059,14.3604191670174,-261936.129716786
8.15799999999939,-261922.177079348,476.58256930958,14.9695611017335,-261936.156893637
8.15999999999939,-261921.606579752,510.806925467357,16.0445554965422,-261936.150384932
